name,crate,blocks,edges,stmt_count,treewidth,is_unsafe
"contracts::build_check_ensures",core,1,0,1,0,0
"f128::<impl f128>::is_nan",core,1,0,1,0,0
"f128::<impl f128>::is_infinite",core,1,0,3,0,0
"f128::<impl f128>::is_finite",core,2,1,1,1,0
"f128::<impl f128>::is_subnormal",core,5,5,3,2,0
"f128::<impl f128>::is_normal",core,5,5,3,2,0
"f128::<impl f128>::classify",core,11,15,8,2,0
"f128::<impl f128>::is_sign_positive",core,2,1,1,1,0
"f128::<impl f128>::is_sign_negative",core,3,2,5,1,0
"f128::<impl f128>::next_up",core,15,18,12,2,0
"f128::<impl f128>::next_down",core,15,18,12,2,0
"f128::<impl f128>::recip",core,1,0,1,0,0
"f128::<impl f128>::to_degrees",core,1,0,1,0,0
"f128::<impl f128>::to_radians",core,1,0,1,0,0
"f128::<impl f128>::max",core,2,1,0,1,0
"f128::<impl f128>::min",core,2,1,0,1,0
"f128::<impl f128>::maximum",core,2,1,0,1,0
"f128::<impl f128>::minimum",core,2,1,0,1,0
"f128::<impl f128>::midpoint",core,7,8,10,2,0
"f128::<impl f128>::to_int_unchecked",core,2,1,0,1,1
"f128::<impl f128>::to_bits",core,1,0,1,0,0
"f128::<impl f128>::from_bits",core,1,0,1,0,0
"f128::<impl f128>::to_be_bytes",core,3,2,0,1,0
"f128::<impl f128>::to_le_bytes",core,3,2,0,1,0
"f128::<impl f128>::to_ne_bytes",core,3,2,0,1,0
"f128::<impl f128>::from_be_bytes",core,3,2,0,1,0
"f128::<impl f128>::from_le_bytes",core,3,2,0,1,0
"f128::<impl f128>::from_ne_bytes",core,3,2,0,1,0
"f128::<impl f128>::total_cmp",core,8,7,26,1,0
"f128::<impl f128>::clamp",core,7,8,8,2,0
"f128::<impl f128>::clamp::do_panic",core,1,0,1,0,0
"f128::<impl f128>::clamp::do_panic::runtime",core,4,3,8,1,0
"f128::<impl f128>::clamp::do_panic::compiletime",core,2,1,0,1,0
"f128::<impl f128>::clamp_magnitude",core,6,5,2,1,0
"f128::<impl f128>::abs",core,2,1,0,1,0
"f128::<impl f128>::signum",core,5,5,1,2,0
"f128::<impl f128>::copysign",core,2,1,0,1,0
"f128::<impl f128>::algebraic_add",core,2,1,0,1,0
"f128::<impl f128>::algebraic_sub",core,2,1,0,1,0
"f128::<impl f128>::algebraic_mul",core,2,1,0,1,0
"f128::<impl f128>::algebraic_div",core,2,1,0,1,0
"f128::<impl f128>::algebraic_rem",core,2,1,0,1,0
"f128::<impl f128>::floor",core,2,1,0,1,0
"f128::<impl f128>::ceil",core,2,1,0,1,0
"f128::<impl f128>::round",core,2,1,0,1,0
"f128::<impl f128>::round_ties_even",core,2,1,0,1,0
"f128::<impl f128>::trunc",core,2,1,0,1,0
"f128::<impl f128>::fract",core,2,1,1,1,0
"f128::<impl f128>::mul_add",core,2,1,0,1,0
"f128::<impl f128>::div_euclid",core,7,8,7,2,0
"f128::<impl f128>::rem_euclid",core,5,5,4,2,0
"f128::<impl f128>::powi",core,2,1,0,1,0
"f128::<impl f128>::sqrt",core,2,1,0,1,0
"f16::<impl f16>::is_nan",core,1,0,1,0,0
"f16::<impl f16>::is_infinite",core,1,0,3,0,0
"f16::<impl f16>::is_finite",core,2,1,1,1,0
"f16::<impl f16>::is_subnormal",core,5,5,3,2,0
"f16::<impl f16>::is_normal",core,5,5,3,2,0
"f16::<impl f16>::classify",core,11,15,8,2,0
"f16::<impl f16>::is_sign_positive",core,2,1,1,1,0
"f16::<impl f16>::is_sign_negative",core,3,2,5,1,0
"f16::<impl f16>::next_up",core,15,18,12,2,0
"f16::<impl f16>::next_down",core,15,18,12,2,0
"f16::<impl f16>::recip",core,1,0,1,0,0
"f16::<impl f16>::to_degrees",core,1,0,1,0,0
"f16::<impl f16>::to_radians",core,1,0,1,0,0
"f16::<impl f16>::max",core,2,1,0,1,0
"f16::<impl f16>::min",core,2,1,0,1,0
"f16::<impl f16>::maximum",core,2,1,0,1,0
"f16::<impl f16>::minimum",core,2,1,0,1,0
"f16::<impl f16>::midpoint",core,7,8,10,2,0
"f16::<impl f16>::to_int_unchecked",core,2,1,0,1,1
"f16::<impl f16>::to_bits",core,1,0,1,0,0
"f16::<impl f16>::from_bits",core,1,0,1,0,0
"f16::<impl f16>::to_be_bytes",core,3,2,0,1,0
"f16::<impl f16>::to_le_bytes",core,3,2,0,1,0
"f16::<impl f16>::to_ne_bytes",core,3,2,0,1,0
"f16::<impl f16>::from_be_bytes",core,3,2,0,1,0
"f16::<impl f16>::from_le_bytes",core,3,2,0,1,0
"f16::<impl f16>::from_ne_bytes",core,3,2,0,1,0
"f16::<impl f16>::total_cmp",core,8,7,26,1,0
"f16::<impl f16>::clamp",core,7,8,8,2,0
"f16::<impl f16>::clamp::do_panic",core,1,0,1,0,0
"f16::<impl f16>::clamp::do_panic::runtime",core,4,3,8,1,0
"f16::<impl f16>::clamp::do_panic::compiletime",core,2,1,0,1,0
"f16::<impl f16>::clamp_magnitude",core,6,5,2,1,0
"f16::<impl f16>::abs",core,2,1,0,1,0
"f16::<impl f16>::signum",core,5,5,1,2,0
"f16::<impl f16>::copysign",core,2,1,0,1,0
"f16::<impl f16>::algebraic_add",core,2,1,0,1,0
"f16::<impl f16>::algebraic_sub",core,2,1,0,1,0
"f16::<impl f16>::algebraic_mul",core,2,1,0,1,0
"f16::<impl f16>::algebraic_div",core,2,1,0,1,0
"f16::<impl f16>::algebraic_rem",core,2,1,0,1,0
"f16::<impl f16>::floor",core,2,1,0,1,0
"f16::<impl f16>::ceil",core,2,1,0,1,0
"f16::<impl f16>::round",core,2,1,0,1,0
"f16::<impl f16>::round_ties_even",core,2,1,0,1,0
"f16::<impl f16>::trunc",core,2,1,0,1,0
"f16::<impl f16>::fract",core,2,1,1,1,0
"f16::<impl f16>::mul_add",core,2,1,0,1,0
"f16::<impl f16>::div_euclid",core,7,8,7,2,0
"f16::<impl f16>::rem_euclid",core,5,5,4,2,0
"f16::<impl f16>::powi",core,2,1,0,1,0
"f16::<impl f16>::sqrt",core,2,1,0,1,0
"f16::<impl f16>::cbrt",core,2,1,2,1,0
"f32::<impl f32>::is_nan",core,1,0,1,0,0
"f32::<impl f32>::is_infinite",core,1,0,3,0,0
"f32::<impl f32>::is_finite",core,2,1,1,1,0
"f32::<impl f32>::is_subnormal",core,5,5,3,2,0
"f32::<impl f32>::is_normal",core,5,5,3,2,0
"f32::<impl f32>::classify",core,11,15,8,2,0
"f32::<impl f32>::is_sign_positive",core,2,1,1,1,0
"f32::<impl f32>::is_sign_negative",core,2,1,2,1,0
"f32::<impl f32>::next_up",core,15,18,12,2,0
"f32::<impl f32>::next_down",core,15,18,12,2,0
"f32::<impl f32>::recip",core,1,0,1,0,0
"f32::<impl f32>::to_degrees",core,1,0,1,0,0
"f32::<impl f32>::to_radians",core,1,0,1,0,0
"f32::<impl f32>::max",core,2,1,0,1,0
"f32::<impl f32>::min",core,2,1,0,1,0
